UNIDADE
46_caps_dra_eliana_vitorino_shcramm|46 - CAPs Dra Eliana Vitorino Shcramm
46b_caps_dra_eliana_vitorino_shcramm|46B - CAPs Dra Eliana Vitorino Shcramm
71_clinica_da_familia_desembargador_fabio_do_couto_vale|71 - Clínica da família Desembargador Fábio do Couto Vale
73_ubs_nilton_lins|73 - UBS NILTON LINS
73_ubs_nilton_lins_b|73 B - UBS NILTON LINS
74_instituto_das_irmas_de_nossa_senhora_do_carmo|74 - Instituto das Irmãs de Nossa Senhora do Carmo
75_clinica_da_familia_desembargador_fabio_do_couto_vale|75 - Clínica da família Desembargador Fábio do Couto Vale
75_clinica_da_familia_desembargador_fabio_do_couto_vale_b|75 B - Clínica da família Desembargador Fábio do Couto Vale
76_cer_centro_de_especializado_de_reabilitacao_professor_rolls_gracie|76 - CER Centro de Especializado de Reabilitação PROFESSOR ROLLS GRACIE
77_caps_i_parque_das_laranjeiras|77 - CAPS I Parque das Laranjeiras
77_clinica_da_familia_senador_severiano_nunes|78 - Clínica da família Senador Severiano Nunes
78_clinica_da_familia_senador_severiano_nunes_b|78 B - Clínica da família Senador Severiano Nunes
78_clinica_da_familia_senador_severiano_nunes_c|78 C - Clínica da família Senador Severiano Nunes
79_ubs_carlson_gracie_ubs_nova_cidade_porte_iv|79 - UBS Carlson Gracie (UBS Nova Cidade Porte IV)
79_ubs_carlson_gracie_ubs_nova_cidade_porte_iv_b|79 B - UBS Carlson Gracie (UBS Nova Cidade Porte IV)
80_secretaria_municipal_de_saude_sede|80 - Secretaria Municipal de Saúde - Sede
81_clinica_da_familia_carmem_nicolau|81 - Clinica da Família Carmem Nicolau
81_clinica_da_familia_carmem_nicolau_b|81 B - Clinica da Família Carmem Nicolau
82_departamento_de_logistica_delog_central_de_medicamentos_anexo|82 - Departamento de Logística- DELOG (Central de medicamentos) - Anexo
83_clinica_da_familia_carmem_nicolau|83 - Clinica da Família Carmem Nicolau
84_secretaria_municipal_de_saude_sede_base_semsa|84 - Secretaria Municipal de Saúde - Sede (Base SEMSA)
85_laboratorio_de_vigilancia_edivar_dos_santos_fernandes|85 - LABORATÓRIO DE VIGILÂNCIA EDIVAR DOS SANTOS FERNANDES
87_barco_da_semsa_dr_ney_lacerda|87 - Barco da Semsa - Dr. Ney Lacerda
88_barco_da_semsa__dr_antonio_levino|88 - Barco da SEMSA - Dr. Antonio Levino
90_ubsf_unidade_basica_da_familia_n03|90 - UBSF - Unidade Basica da Familia - N-03
"91_central_de_programa_de_nutricao_leite_do_meu_filho|91 - Central de Programa de Nutrição ""Leite do Meu Filho"""
92_ubs_jose_figliuolo|92 - UBS José Figliuolo
92_ubs_jose_figliuolo_b|92 B - UBS José Figliuolo
93_samu_puraquequara|93 - SAMU Puraquequara
94_devae|94 - DEVAE
95_ubsf_unidade_basica_da_familia_o10|95 - UBSF - Unidade Basica da Familia - O-10
96_ubsf_unidade_basica_da_familia_o22|96 - UBSF - Unidade Basica da Familia - O-22
97_ubsfunidade_basica_da_familia_s33|97 - UBSF-Unidade Basica da Familia - S-33
